name,code,pe
张江高科,"600895",30.298
广日股份,"600894",7.752
航发动力,"600893",55.848
秋林集团,"600891",22.152
南京化纤,"600889",27.567
伊利股份,"600887",35.839
国投电力,"600886",12.615
宏发股份,"600885",37.633
广泽股份,"600882",114.125
亚泰集团,"600881",89.0
博瑞传播,"600880",87.0
航天电子,"600879",19.875
创业环保,"600874",41.548
梅花生物,"600873",16.029
中炬高新,"600872",60.321
智慧能源,"600869",41.635
通化东宝,"600867",49.109
百大集团,"600865",30.36
哈投股份,"600864",30.958
内蒙华电,"600863",49.0
北京城乡,"600861",34.309
宁波中百,"600857",48.73
海欣股份,"600851",146.174
华东电脑,"600850",26.597
上海临港,"600848",59.575
宝信软件,"600845",44.779
上工申贝,"600843",40.89
上柴股份,"600841",114.0
四川长虹,"600839",28.453
海通证券,"600837",19.943
上海机电,"600835",16.613
申通地铁,"600834",86.305
第一医药,"600833",63.476
广电网络,"600831",35.123
香溢融通,"600830",36.849
茂业商业,"600828",19.756
百联股份,"600827",25.961
兰生股份,"600826",6.71
新华传媒,"600825",118.6
益民集团,"600824",34.266
世茂股份,"600823",7.557
隧道股份,"600820",15.774
耀皮玻璃,"600819",23.292
安信信托,"600816",7.549
杭州解百,"600814",32.704
华北制药,"600812",149.697
东方集团,"600811",14.56
悦达投资,"600805",47.154
鹏博士,"600804",30.164
钱江生化,"600796",64.182
国电电力,"600795",13.75
云煤能源,"600792",84.2
京能置业,"600791",72.3
轻纺城,"600790",17.941
新华百货,"600785",78.679
鲁信创投,"600783",27.18
通宝能源,"600780",52.472
东方通信,"600776",106.712
南京熊猫,"600775",61.533
西藏城投,"600773",111.0
广誉远,"600771",102.864
宁波富邦,"600768",100.73
中航重机,"600765",38.161
通策医疗,"600763",86.595
安徽合力,"600761",16.328
长江传媒,"600757",14.816
浪潮软件,"600756",47.972
锦江股份,"600754",45.649
江中药业,"600750",20.425
上实发展,"600748",20.094
江苏索普,"600746",121.097
华银电力,"600744",34.636
华远地产,"600743",12.625
一汽富维,"600742",16.832
华域汽车,"600741",13.69
辽宁成大,"600739",28.873
兰州民百,"600738",47.574
中粮糖业,"600737",32.55
苏州高新,"600736",24.846
新华锦,"600735",75.203
中国高科,"600730",7.031
重庆百货,"600729",25.621
佳都科技,"600728",107.854
华电能源,"600726",38.625
宁波富达,"600724",42.679
首商股份,"600723",18.753
百花村,"600721",20.328
东软集团,"600718",9.093
天津港,"600717",14.307
凤凰股份,"600716",86.316
金瑞矿业,"600714",42.6
南京医药,"600713",30.348
曲江文旅,"600706",61.533
中航资本,"600705",22.038
物产中大,"600704",10.657
三安光电,"600703",43.245
工大高新,"600701",76.281
均胜电子,"600699",47.061
亚通股份,"600692",77.463
青岛海尔,"600690",24.964
上海三毛,"600689",24.391
上海石化,"600688",12.232
刚泰控股,"600687",34.505
京投发展,"600683",15.872
南京新百,"600682",78.646
百川能源,"600681",19.825
上海凤凰,"600679",133.664
交运股份,"600676",18.429
中华企业,"600675",17.607
川投能源,"600674",12.218
尖峰集团,"600668",19.24
太极实业,"600667",57.5
天地源,"600665",16.998
陆家嘴,"600663",25.32
强生控股,"600662",32.0
新南洋,"600661",35.293
福耀玻璃,"600660",21.48
电子城,"600658",16.391
