name,code,pe,industry
新疆众和,600888,40.981,NULL
宏发股份,600885,15.318,NULL
杉杉股份,600884,22.105,NULL
王府井,600859,14.77,NULL
中天能源,600856,13.721,NULL
龙建股份,600853,16.609,NULL
同济科技,600846,18.908,NULL
宝信软件,600845,44.586,NULL
上海九百,600838,29.901,NULL
兰生股份,600826,21.348,NULL
马钢股份,600808,7.516,NULL
新奥股份,600803,19.453,NULL
华新水泥,600801,14.604,NULL
浙大网新,600797,29.781,NULL
宜宾纸业,600793,17.196,NULL
鲁抗医药,600789,62.6,NULL
新钢股份,600782,6.587,NULL
辅仁药业,600781,17.436,NULL
新潮能源,600777,31.286,NULL
西藏城投,600773,69.091,NULL
中航沈飞,600760,68.784,NULL
浪潮软件,600756,45.842,NULL
江中药业,600750,12.266,NULL
江苏索普,600746,25.031,NULL
新华锦,600735,31.024,NULL
实达集团,600734,22.726,NULL
祁连山,600720,12.157,NULL
盛屯矿业,600711,20.833,NULL
曲江文旅,600706,32.086,NULL
舍得酒业,600702,68.851,NULL
绿庭投资,600695,51.642,NULL
亚通股份,600692,39.097,NULL
南京新百,600682,21.235,NULL
航天通信,600677,40.053,NULL
尖峰集团,600668,12.204,NULL
太极实业,600667,35.85,NULL
强生控股,600662,45.198,NULL
龙头股份,600630,26.267,NULL
申达股份,600626,20.647,NULL
华谊集团,600623,30.759,NULL
华鑫股份,600621,10.805,NULL
海立股份,600619,36.813,NULL
新安股份,600596,23.288,NULL
益佰制药,600594,16.074,NULL
恒生电子,600570,64.842,NULL
安阳钢铁,600569,7.115,NULL
中珠医疗,600568,34.118,NULL
国睿科技,600562,45.457,NULL
老白干酒,600559,52.027,NULL
凯盛科技,600552,44.995,NULL
中铁工业,600528,17.238,NULL
长园集团,600525,9.636,NULL
置信电气,600517,21.778,NULL
方大炭素,600516,12.521,NULL
腾达建设,600512,28.556,NULL
天富能源,600509,23.842,NULL
方大特钢,600507,6.302,NULL
西昌电力,600505,45.447,NULL
安徽水利,600502,7.217,NULL
科达洁能,600499,16.935,NULL
烽火通信,600498,38.449,NULL
龙元建设,600491,15.896,NULL
凌云股份,600480,12.918,NULL
宁夏建材,600449,13.606,NULL
瑞贝卡,600439,17.211,NULL
中远海特,600428,33.333,NULL
华鲁恒升,600426,24.602,NULL
天润乳业,600419,16.729,NULL
华胜天成,600410,38.803,NULL
三友化工,600409,8.559,NULL
粤泰股份,600393,6.5,NULL
盛和资源,600392,38.424,NULL
海越股份,600387,25.229,NULL
万向德农,600371,31.192,NULL
红星发展,600367,25.831,NULL
华微电子,600360,51.692,NULL
新农开发,600359,56.667,NULL
恒力股份,600346,26.967,NULL
长江通信,600345,20.053,NULL
西藏珠峰,600338,12.589,NULL
兰太实业,600328,15.151,NULL
西藏天路,600326,18.814,NULL
瀚蓝环境,600323,18.929,NULL
亚星化学,600319,68.625,NULL
万华化学,600309,12.472,NULL
恒顺醋业,600305,20.558,NULL
曙光股份,600303,11.191,NULL
鄂尔多斯,600295,17.84,NULL
华仪电气,600290,55.25,NULL
南钢股份,600282,6.225,NULL
东方创业,600278,32.879,NULL
嘉化能源,600273,12.9,NULL
开开实业,600272,49.188,NULL
凯乐科技,600260,21.907,NULL
冠农股份,600251,57.011,NULL
凌钢股份,600231,7.729,NULL
沧州大化,600230,5.668,NULL
天津松江,600225,18.667,NULL
浙江医药,600216,42.481,NULL
伊力特,600197,28.944,NULL
东安动力,600178,59.135,NULL
黄河旋风,600172,17.289,NULL
上海贝岭,600171,41.885,NULL
兴发集团,600141,25.329,NULL
浪莎股份,600137,64.492,NULL
当代明诚,600136,48.115,NULL
乐凯胶片,600135,45.718,NULL
岷江水电,600131,48.125,NULL
铁龙物流,600125,34.664,NULL
浙江东日,600113,27.267,NULL
诺德股份,600110,30.811,NULL
重庆路桥,600106,12.714,NULL
康欣新材,600076,10.022,NULL
新疆天业,600075,12.236,NULL
四川路桥,600039,11.608,NULL
中直股份,600038,45.838,NULL
三一重工,600031,33.736,NULL
华能水电,600025,21.143,NULL
宁德时代,300750,36.128,NULL
锐科激光,300747,62.934,NULL
欣锐科技,300745,56.766,NULL
天地数码,300743,63.516,NULL
越博动力,300742,38.313,NULL
华宝股份,300741,17.947,NULL
明阳电路,300739,19.611,NULL
奥飞数据,300738,37.703,NULL
科顺股份,300737,24.063,NULL
百华悦邦,300736,24.134,NULL
光弘科技,300735,28.323,NULL
西菱动力,300733,21.071,NULL
设研院,300732,8.932,NULL
科创新源,300731,37.816,NULL
科创信息,300730,32.226,NULL
乐歌股份,300729,28.526,NULL
润禾材料,300727,39.016,NULL
宏达电子,300726,56.0,NULL
药石科技,300725,50.151,NULL
一品红,300723,25.268,NULL
新余国科,300722,50.26,NULL
怡达股份,300721,26.157,NULL
海川智能,300720,52.174,NULL
安达维尔,300719,18.59,NULL
长盛轴承,300718,12.131,NULL
华信新材,300717,21.299,NULL
国立科技,300716,19.88,NULL
凯伦股份,300715,32.43,NULL
英可瑞,300713,17.037,NULL
永福股份,300712,26.671,NULL
广哈通信,300711,38.438,NULL
万隆光电,300710,32.097,NULL
精研科技,300709,16.143,NULL
聚灿光电,300708,28.148,NULL
威唐工业,300707,20.068,NULL
阿石创,300706,65.016,NULL
九典制药,300705,29.472,NULL
创源文化,300703,19.462,NULL
天宇股份,300702,17.689,NULL
森霸传感,300701,41.75,NULL
岱勒新材,300700,23.163,NULL
光威复材,300699,55.61,NULL
电工合金,300697,29.15,NULL
爱乐达,300696,20.688,NULL
兆丰股份,300695,15.944,NULL
盛弘股份,300693,34.672,NULL
中环环保,300692,30.86,NULL
联合光电,300691,21.209,NULL
双一科技,300690,12.194,NULL
澄天伟业,300689,38.495,NULL
创业黑马,300688,60.12,NULL
赛意信息,300687,13.987,NULL
智动力,300686,42.35,NULL
艾德生物,300685,38.87,NULL
中石科技,300684,56.48,NULL
英搏尔,300681,34.344,NULL
电连技术,300679,8.341,NULL
中科信息,300678,41.586,NULL
英科医疗,300677,11.725999999999999,NULL
华大基因,300676,67.638,NULL
佩蒂股份,300673,31.154,NULL
富满电子,300671,46.788,NULL
沪宁股份,300669,39.635,NULL
杰恩设计,300668,12.71,NULL
必创科技,300667,37.889,NULL
飞鹿股份,300665,26.609,NULL
鹏鹞环保,300664,29.653,NULL
科蓝软件,300663,43.941,NULL
科锐国际,300662,48.596,NULL
江苏雷利,300660,9.593,NULL
中孚信息,300659,31.194,NULL
延江股份,300658,13.95,NULL
民德电子,300656,31.394,NULL
晶瑞股份,300655,36.167,NULL
世纪天鸿,300654,35.902,NULL
雷迪克,300652,20.884,NULL
太龙照明,300650,17.809,NULL
星云股份,300648,23.822,NULL
超频三,300647,64.903,NULL
正元智慧,300645,44.507,NULL
南京聚隆,300644,35.0,NULL
万通智控,300643,50.105,NULL
透景生命,300642,20.55,NULL
正丹股份,300641,15.463,NULL
德艺文创,300640,24.064,NULL
凯普生物,300639,16.0,NULL
广和通,300638,45.845,NULL
扬帆新材,300637,48.525,NULL
达安股份,300635,39.463,NULL
光莆股份,300632,26.848,NULL
久吾高科,300631,41.32,NULL
新劲刚,300629,55.128,NULL
亿联网络,300628,14.526,NULL
华测导航,300627,18.45,NULL
华瑞股份,300626,14.803,NULL
万兴科技,300624,64.632,NULL
捷捷微电,300623,20.256,NULL
博士眼镜,300622,29.538,NULL
维业股份,300621,19.21,NULL
光库科技,300620,56.091,NULL
金银河,300619,45.758,NULL
寒锐钴业,300618,36.258,NULL
欣天科技,300615,41.128,NULL
富瀚微,300613,50.313,NULL
宣亚国际,300612,29.208,NULL
美力科技,300611,40.519,NULL
晨化股份,300610,21.907,NULL
拓斯达,300607,30.836,NULL
恒锋信息,300605,30.328,NULL
长川科技,300604,58.264,NULL
飞荣达,300602,33.464,NULL
雄塑科技,300599,24.444,NULL
诚迈科技,300598,49.796,NULL
欧普康视,300595,28.175,NULL
新雷能,300593,54.742,NULL
华凯创意,300592,27.76,NULL
万里马,300591,47.896,NULL
移为通信,300590,32.014,NULL
江龙船艇,300589,38.6,NULL
熙菱信息,300588,13.668,NULL
天铁股份,300587,27.338,NULL
美联新材,300586,26.667,NULL
奥联电子,300585,32.762,NULL
海辰药业,300584,41.146,NULL
赛托生物,300583,44.841,NULL
晨曦航空,300581,22.023,NULL
贝斯特,300580,20.656,NULL
数字认证,300579,24.143,NULL
会畅通讯,300578,39.224,NULL
开润股份,300577,32.613,NULL
容大感光,300576,48.387,NULL
兴齐眼药,300573,35.408,NULL
平治信息,300571,46.124,NULL
太辰光,300570,36.504,NULL
天能重工,300569,21.343,NULL
星源材质,300568,67.857,NULL
科信技术,300565,34.622,NULL
神宇股份,300563,47.8,NULL
汇金科技,300561,17.642,NULL
中富通,300560,53.514,NULL
佳发教育,300559,36.147,NULL
路通视信,300555,41.967,NULL
三超新材,300554,15.247,NULL
万集科技,300552,50.6,NULL
古鳌科技,300551,62.125,NULL
优德精密,300549,26.105,NULL
博创科技,300548,32.392,NULL
川环科技,300547,10.795,NULL
雄帝科技,300546,39.61,NULL
联得装备,300545,26.886,NULL
朗科智能,300543,32.343,NULL
新晨科技,300542,35.65,NULL
深冷股份,300540,57.759,NULL
横河模具,300539,56.733,NULL
同益股份,300538,63.576,NULL
广信材料,300537,36.684,NULL
农尚环境,300536,33.097,NULL
达威股份,300535,18.227,NULL
今天国际,300532,24.721,NULL
幸福蓝海,300528,33.633,NULL
中国应急,300527,19.631,NULL
中潜股份,300526,50.704,NULL
世名科技,300522,46.069,NULL
新光药业,300519,29.333,NULL
友讯达,300514,17.681,NULL
雪榕生物,300511,12.328,NULL
新美星,300509,15.392,NULL
维宏股份,300508,17.667,NULL
苏奥传感,300507,26.56,NULL
名家汇,300506,33.19,NULL
川金诺,300505,39.498,NULL
天邑股份,300504,27.045,NULL
昊志机电,300503,33.367,NULL
新易盛,300502,27.536,NULL
海顺新材,300501,20.653,NULL
启迪设计,300500,47.31,NULL
美尚生态,300495,26.963,NULL
盛天网络,300494,31.056,NULL
润欣科技,300493,60.778,NULL
华自科技,300490,48.143,NULL
蓝海华腾,300484,19.71,NULL
合纵科技,300477,24.556,NULL
信息发展,300469,44.444,NULL
迅游科技,300467,48.18,NULL
华铭智能,300462,55.758,NULL
深信服,300454,60.072,NULL
山河药辅,300452,28.963,NULL
创业软件,300451,19.971,NULL
先导智能,300450,21.815,NULL
双杰电气,300444,23.138,NULL
金雷风电,300443,15.682,NULL
鲍斯股份,300441,21.667,NULL
美康生物,300439,29.742,NULL
蓝思科技,300433,15.897,NULL
富临精工,300432,11.32,NULL
暴风集团,300431,66.235,NULL
诚益通,300430,20.038,NULL
强力新材,300429,57.213,NULL
四通新材,300428,26.233,NULL
唐德影视,300426,18.646,NULL
环能科技,300425,18.203,NULL
博世科,300422,34.39,NULL
浩丰科技,300419,38.875,NULL
昆仑万维,300418,19.663,NULL
伊之密,300415,12.047,NULL
迦南科技,300412,54.059,NULL
金盾股份,300411,21.85,NULL
道氏技术,300409,27.986,NULL
科隆股份,300405,35.289,NULL
花园生物,300401,24.375,NULL
天和防务,300397,41.414,NULL
中来股份,300393,12.736,NULL
康跃科技,300391,25.094,NULL
国祯环保,300388,15.677,NULL
飞天诚信,300386,35.133,NULL
光环新网,300383,45.1,NULL
鼎捷软件,300378,50.087,NULL
赢时胜,300377,49.751,NULL
恒通科技,300374,28.25,NULL
扬杰科技,300373,49.842,NULL
创意信息,300366,26.362,NULL
中文在线,300364,57.545,NULL
全通教育,300359,65.9,NULL
楚天科技,300358,30.0,NULL
蒙草生态,300355,10.509,NULL
东土科技,300353,46.835,NULL
北信源,300352,61.014,NULL
永贵电器,300351,25.957,NULL
华鹏飞,300350,50.091,NULL
科恒股份,300340,16.803,NULL
润和软件,300339,33.514,NULL
迪森股份,300335,14.215,NULL
海伦钢琴,300329,53.219,NULL
中颖电子,300327,35.532,NULL
珈伟股份,300317,17.748,NULL
晶盛机电,300316,35.077,NULL
掌趣科技,300315,39.8,NULL
任子行,300311,18.909,NULL
宜通世纪,300310,16.741,NULL
远方信息,300306,19.156,NULL
云意电气,300304,24.938,NULL
汉鼎宇佑,300300,65.73,NULL
三六五网,300295,25.408,NULL
吴通控股,300292,17.778,NULL
朗玛信息,300288,48.724,NULL
飞利信,300287,20.607,NULL
苏交科,300284,12.39,NULL
金明精机,300281,39.929,NULL
和晶科技,300279,37.23,NULL
华昌达,300278,67.203,NULL
梅安森,300275,32.157,NULL
阳光电源,300274,10.408,NULL
和佳股份,300273,50.25,NULL
